speaker,sentence,answer_to_give,answer_0,answer_1,answer_2
Chris Wallace,Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic.,0,Not given,Not given,Not given
Chris Wallace,I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden.,0,Not given,Not given,Not given
Chris Wallace,This debate is sponsored by the Commission on Presidential debates.,0,Not given,Not given,Not given
Chris Wallace,"The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment.",0,Not given,Not given,Not given
Chris Wallace,Both campaigns have agreed to these rules.,0,Not given,Not given,Not given
Chris Wallace,"For the record, I decided the topics and the questions in each topic.",0,Not given,Not given,Not given
Chris Wallace,I can assure you none of the questions has been shared with the Commission or the two candidates.,0,Not given,Not given,Not given
Chris Wallace,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates.",0,Not given,Not given,Not given
Chris Wallace,"As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate.",0,Not given,Not given,Not given
Chris Wallace,The audience here in the hall has promised to remain silent.,0,Not given,Not given,Not given
Chris Wallace,"No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say.",0,Not given,Not given,Not given
Chris Wallace,"No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden.",0,Not given,Not given,Not given
Vice President Joe Biden,"How you doing, man?",0,Not given,Not given,Not given
President Donald J. Trump,How are you doing?,0,Not given,Not given,Not given
Vice President Joe Biden,I’m well.,0,Not given,Not given,Not given
Chris Wallace,"Gentlemen, a lot of people been waiting for this night, so let’s get going.",0,Not given,Not given,Not given
Chris Wallace,Our first subject is the Supreme Court.,1,Not Claim,Not given,Not given
Chris Wallace,"President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court.",0,Not given,Not given,Not given
Chris Wallace,You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court.,0,Not given,Not given,Not given
Chris Wallace,"Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power.",0,Not given,Not given,Not given
Chris Wallace,"My first question to both of you tonight, why are you right in the argument you make and your opponent wrong?",0,Not given,Not given,Not given
Chris Wallace,And where do you think a Justice Barrett would take the court?,0,Not given,Not given,Not given
Chris Wallace,"President Trump, in this first segment, you go first.",0,Not given,Not given,Not given
Chris Wallace,Two minutes.,0,Not given,Not given,Not given
President Donald J. Trump,"Thank you very much, Chris.",0,Not given,Not given,Not given
President Donald J. Trump,I will tell you very simply.,0,Not given,Not given,Not given
President Donald J. Trump,We won the election.,0,Not given,Not given,Not given
President Donald J. Trump,Elections have consequences.,0,Not given,Not given,Not given
President Donald J. Trump,"We have the Senate, we have the White House, and we have a phenomenal nominee respected by all.",0,Not given,Not given,Not given
President Donald J. Trump,"Top, top academic, good in every way.",0,Not given,Not given,Not given
President Donald J. Trump,Good in every way.,0,Not given,Not given,Not given
President Donald J. Trump,"In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places.",0,Not given,Not given,Not given
President Donald J. Trump,So I think she’s going to be fantastic.,0,Not given,Not given,Not given
President Donald J. Trump,We have plenty of time.,0,Not given,Not given,Not given
President Donald J. Trump,Even if we did it after the election itself.,0,Not given,Not given,Not given
President Donald J. Trump,"I have a lot of time after the election, as you know.",0,Not given,Not given,Not given
President Donald J. Trump,So I think that she will be outstanding.,0,Not given,Not given,Not given
President Donald J. Trump,She’s going to be as good as anybody that has served on that court.,0,Not given,Not given,Not given
President Donald J. Trump,We really feel that.,0,Not given,Not given,Not given
President Donald J. Trump,"We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had.",0,Not given,Not given,Not given
President Donald J. Trump,He’s been a professor for a long time at a great school.,0,Not given,Not given,Not given
President Donald J. Trump,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise.",0,Not given,Not given,Not given
President Donald J. Trump,"And by the way, the Democrats, they wouldn’t even think about not doing it.",0,Not given,Not given,Not given
President Donald J. Trump,The only difference is they’d try and do it faster.,0,Not given,Not given,Not given
President Donald J. Trump,There’s no way they would give it up.,0,Not given,Not given,Not given
President Donald J. Trump,"They had Merrick Garland, but the problem is they didn’t have the election so they were stopped.",0,Not given,Not given,Not given
President Donald J. Trump,"And probably that would happen in reverse, also.",0,Not given,Not given,Not given
President Donald J. Trump,Definitely would happen in reverse.,0,Not given,Not given,Not given
President Donald J. Trump,"So we won the election and we have the right to do it, Chris.",0,Not given,Not given,Not given
Chris Wallace,"President Trump, thank you.",0,Not given,Not given,Not given
Chris Wallace,"Same question to you, Vice President Biden.",0,Not given,Not given,Not given
Chris Wallace,You have two minutes.,0,Not given,Not given,Not given
Vice President Joe Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",0,Not given,Not given,Not given
President Donald J. Trump,"Thank you, Joe.",0,Not given,Not given,Not given
Vice President Joe Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,0,Not given,Not given,Not given
Vice President Joe Biden,They’re not going to get that chance now because we’re in the middle of an election already.,0,Not given,Not given,Not given
Vice President Joe Biden,The election has already started.,1,Claim,Not given,Not given
Vice President Joe Biden,Tens of thousands of people already voted and so the thing that should happen is we should wait.,0,Not given,Not given,Not given
Vice President Joe Biden,We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,0,Not given,Not given,Not given
Vice President Joe Biden,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act.",0,Not given,Not given,Not given
Vice President Joe Biden,"He’s been running on that, he ran on that and he’s been governing on that.",0,Not given,Not given,Not given
Vice President Joe Biden,"He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court.",0,Not given,Not given,Not given
Vice President Joe Biden,"And the justice, I’m not opposed to the justice, she seems like a very fine person.",1,Claim,Not given,Not given
Vice President Joe Biden,"But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional.",0,Not given,Not given,Not given
Vice President Joe Biden,"The other thing that’s on the court, and if it’s struck down, what happens?",0,Not given,Not given,Not given
Vice President Joe Biden,Women’s rights are fundamentally changed.,0,Not given,Not given,Not given
Vice President Joe Biden,"Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.",0,Not given,Not given,Not given
Vice President Joe Biden,They’re able to charge women more for the same exact procedure a man gets.,0,Not given,Not given,Not given
Vice President Joe Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well.",0,Not given,Not given,Not given
Vice President Joe Biden,"Those pre-existing conditions, insurance companies are going to love this.",0,Not given,Not given,Not given
Vice President Joe Biden,And so it’s just not appropriate to do this before this election.,0,Not given,Not given,Not given
Vice President Joe Biden,"If he wins the election and the Senate is Republican, then he goes forward.",0,Not given,Not given,Not given
Vice President Joe Biden,"If not, we should wait until February.",0,Not given,Not given,Not given
President Donald J. Trump,There aren’t a hundred million people with pre-existing conditions.,0,Not given,Not given,Not given
President Donald J. Trump,"As far as a say is concerned, the people already had their say.",0,Not given,Not given,Not given
President Donald J. Trump,"Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years.",0,Not given,Not given,Not given
President Donald J. Trump,We’re not elected for three years.,0,Not given,Not given,Not given
President Donald J. Trump,I’m not elected for three years.,0,Not given,Not given,Not given
President Donald J. Trump,"So we have the Senate, we have a President-",0,Not given,Not given,Not given
Vice President Joe Biden,He’s elected to the next election.,0,Not given,Not given,Not given
President Donald J. Trump,"During that period of time, during that period of time, we have an opening.",0,Not given,Not given,Not given
President Donald J. Trump,I’m not elected for three years.,0,Not given,Not given,Not given
President Donald J. Trump,I’m elected for four years.,0,Not given,Not given,Not given
President Donald J. Trump,"Joe, the hundred million people is totally wrong.",0,Not given,Not given,Not given
President Donald J. Trump,I don’t know where you got that number.,0,Not given,Not given,Not given
President Donald J. Trump,"The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",0,Not given,Not given,Not given
Vice President Joe Biden,That’s simply not true.,0,Not given,Not given,Not given
